date,temperature_max,precipitation
2022-08-01,25.9,3.0
2022-08-02,24.8,3.7
2022-08-03,25.7,0.5
2022-08-04,25.9,0.7
2022-08-05,26.3,4.7
2022-08-06,25.3,4.9
2022-08-07,26.5,0.0
2022-08-08,26.5,0.3
2022-08-09,26.5,5.5
2022-08-10,26.3,0.1
2022-08-11,26.5,0.0
2022-08-12,25.9,0.5
2022-08-13,25.1,14.2
2022-08-14,25.8,2.4
2022-08-15,25.6,7.5
2022-08-16,24.1,1.4
2022-08-17,25.7,15.9
2022-08-18,26.7,0.9
2022-08-19,26.7,0.2
2022-08-20,26.7,16.5
2022-08-21,25.9,1.2
2022-08-22,24.4,12.7
2022-08-23,25.8,0.1
2022-08-24,26.8,0.0
2022-08-25,26.4,0.3
2022-08-26,26.0,5.2
2022-08-27,25.1,14.8
2022-08-28,22.9,13.3
2022-08-29,25.4,1.2
2022-08-30,26.7,1.2
2022-08-31,25.9,1.1
2022-09-01,25.3,14.8
2022-09-02,25.4,1.6
2022-09-03,27.2,0.4
2022-09-04,26.8,5.8
2022-09-05,26.3,0.2
2022-09-06,26.3,0.7
2022-09-07,26.8,1.4
2022-09-08,26.7,7.8
2022-09-09,25.9,2.3
2022-09-10,26.6,0.1
2022-09-11,27.0,0.2
2022-09-12,26.3,10.5
2022-09-13,26.9,8.1
2022-09-14,25.2,10.3
2022-09-15,26.8,0.8
2022-09-16,26.4,13.2
2022-09-17,26.2,13.1
2022-09-18,25.0,6.0
2022-09-19,23.3,4.5
2022-09-20,25.2,19.3
2022-09-21,24.7,14.6
2022-09-22,24.4,9.3
2022-09-23,27.1,12.4
2022-09-24,26.6,21.3
2022-09-25,26.6,12.3
2022-09-26,26.3,0.6
2022-09-27,26.8,0.4
2022-09-28,26.3,4.3
2022-09-29,24.4,17.3
2022-09-30,24.4,16.2
2022-10-01,24.0,6.8
2022-10-02,25.4,0.0
2022-10-03,26.4,0.0
2022-10-04,27.1,8.4
2022-10-05,24.9,8.9
2022-10-06,26.5,9.3
2022-10-07,25.1,19.9
2022-10-08,23.4,20.6
2022-10-09,25.3,2.1
2022-10-10,25.9,2.6
2022-10-11,26.3,0.0
2022-10-12,26.2,0.4
2022-10-13,25.5,14.0
2022-10-14,23.6,11.5
2022-10-15,25.7,7.3
2022-10-16,26.5,0.8
2022-10-17,23.9,9.0
2022-10-18,24.0,6.5
2022-10-19,25.9,9.5
2022-10-20,23.1,6.4
2022-10-21,23.7,9.9
2022-10-22,24.2,11.1
2022-10-23,25.6,15.4
2022-10-24,24.0,26.0
2022-10-25,24.7,3.3
2022-10-26,22.7,8.3
2022-10-27,23.8,32.3
2022-10-28,24.7,18.1
2022-10-29,23.4,4.8
2022-10-30,25.4,0.0
2022-10-31,24.8,0.6
2022-11-01,25.4,1.0
2022-11-02,26.8,1.2
2022-11-03,26.0,8.8
2022-11-04,24.2,13.3
2022-11-05,23.7,3.9
2022-11-06,23.9,1.5
2022-11-07,24.6,6.9
2022-11-08,25.0,9.6
2022-11-09,22.8,18.4
2022-11-10,24.7,11.7
2022-11-11,24.2,4.3
2022-11-12,24.5,16.1
2022-11-13,24.7,9.9
2022-11-14,24.8,1.4
2022-11-15,24.9,2.7
2022-11-16,25.4,0.3
2022-11-17,25.3,11.6
2022-11-18,23.2,4.6
2022-11-19,27.3,1.2
2022-11-20,25.6,11.0
2022-11-21,24.5,8.8
2022-11-22,24.4,14.0
2022-11-23,23.8,12.7
2022-11-24,23.9,16.0
2022-11-25,25.1,3.6
2022-11-26,24.7,7.7
2022-11-27,24.5,9.7
2022-11-28,22.9,4.1
2022-11-29,23.1,14.2
2022-11-30,24.2,1.0
2022-12-01,24.8,0.0
2022-12-02,24.3,0.0
2022-12-03,25.5,0.0
2022-12-04,23.2,6.3
2022-12-05,23.0,4.3
2022-12-06,22.8,1.0
2022-12-07,23.3,4.8
2022-12-08,23.2,5.3
2022-12-09,24.7,2.3
2022-12-10,24.9,0.9
2022-12-11,24.3,4.9
2022-12-12,24.2,6.6
2022-12-13,25.0,1.2
2022-12-14,25.3,0.1
2022-12-15,25.5,0.0
2022-12-16,25.9,0.1
2022-12-17,24.8,5.3
2022-12-18,23.8,1.3
2022-12-19,25.1,0.1
2022-12-20,26.5,0.2
2022-12-21,25.0,5.0
2022-12-22,26.1,0.0
2022-12-23,25.8,0.9
2022-12-24,23.6,2.2
2022-12-25,25.1,0.7
2022-12-26,25.9,1.3
2022-12-27,23.6,10.3
2022-12-28,24.3,0.7
2022-12-29,24.4,1.0
2022-12-30,25.6,0.2
2022-12-31,24.6,2.9
